title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to asheville nc for thanksgiving!,chattanooga,http://chattanooga.craigslist.org/rid/3415276190.html,"in need of a ride from chattanooga to asheville on thanksgiving morning! please email me if you can help! i have gas money to contribute. 
thanks!",2012-11-16T21:30:11-05:00,emailnotfound
chattanooga drivers needed (chattanooga and surrounding areas),chattanooga,http://chattanooga.craigslist.org/rid/3391581193.html,"boomerang transport is now hiring reliable drivers in the chattanooga area. if you're looking for a low stress, rewarding driving job, then boomerang transport would love to hear from you! our employees' primary job is taking injured workers to and f [...]",2012-11-16T10:22:07-05:00,emailnotfound
need ride (la vergne to el paso),chattanooga,http://chattanooga.craigslist.org/rid/3413203998.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:28:26-05:00,emailnotfound
 do you need aride to atlanta or nashville only $25,chattanooga,http://chattanooga.craigslist.org/rid/3410535206.html,"do you need a ride to atlanta? we will give you a ride to atlanta or nashville airport for only $25 dollars call for departure days and time. limited seating available 
call 423-208-3431",2012-11-14T20:57:10-05:00,emailnotfound
***ride offered to sw florida***,chattanooga,http://chattanooga.craigslist.org/rid/3410264979.html,"i'm leaving chatt or atlanta sun nov 24th. 
going as far south as naples . 
615- 498- eight six eight three ",2012-11-14T18:36:48-05:00,emailnotfound
needing a ride to jackson tn (chattanooga),chattanooga,http://chattanooga.craigslist.org/rid/3410188422.html,"hey, my daughter and i are looking for a ride to jackson, tn tuesday afternoon, nov. 20. i would be willing to help with gas money. i am a full time student and wife has to work wednesday and cannot meet us until thursday morning. i am trying to get  [...]",2012-11-14T18:01:10-05:00,emailnotfound
ride offered - hixson to meadville on tue 11/13 (hixson),chattanooga,http://chattanooga.craigslist.org/rid/3405788342.html,"i'm offering a ride from hixson to meadville. 
leaving november 13th. long trip need help with driving, manual transmission car. contact me on zimride: http://www.zimride.com/ride/share?ride=528438 ",2012-11-12T21:37:27-05:00,emailnotfound
"need someone to talk (dayton,tn)",chattanooga,http://chattanooga.craigslist.org/rid/3405687356.html,would like to go out and have coffee. ,2012-11-12T20:41:18-05:00,emailnotfound
"anyone heading out west? (boulder, colorado)",chattanooga,http://chattanooga.craigslist.org/rid/3397855082.html,"anyone heading towards/near boulder or denver, colorado? 
give me a call at 423-313-0151 
thanks.",2012-11-09T12:41:44-05:00,emailnotfound
university of phoenix wednesday night (chattanooga),chattanooga,http://chattanooga.craigslist.org/rid/3396847641.html,"looking for someone that goes to school at university of phoenix in chattanooga on wednesday nights from six til ten. i need a ride and i can help with gas money. 
email me for more info ",2012-11-08T23:18:27-05:00,emailnotfound
