title,postingFrom,permalink,shortDescription,postingDate,mailToLink
looking for ride to nyc (ky to nyc),lexington,http://lexington.craigslist.org/rid/3417505124.html,"looking for a ride anywhere between lexington, ky and charleston, wv (along i-64) to nyc after thanksgiving. sat, sun, or monday (the 24th, 25th, or 26th). i'm a single male, and a nice kentucky boy. will help pay gas and tolls.",2012-11-17T21:32:06-05:00,emailnotfound
heading east,lexington,http://lexington.craigslist.org/rid/3417017226.html,i'm taking i64 west all the way to the east coast would consider giving a ride. let me know. leaving sunday 18th around 2 ,2012-11-17T17:00:43-05:00,emailnotfound
"water park for thanksgiving vacation (french lick, in)",lexington,http://lexington.craigslist.org/rid/3417013736.html,"i reserved a room at big splash adventure (french lick, in) for november 23rd night. we have room for max 2 more people to share the transportation, hotel room, water passes for 2 days, hot breakfast for 24th morning, laser tag passes. 
max 2 people  [...]",2012-11-17T16:59:05-05:00,emailnotfound
table to northern california? (lexington),lexington,http://lexington.craigslist.org/rid/3416817531.html,"i am looking for a ride for an end table that is currently residing in lexington. my dad made it many years ago, and i live in the san francisco bay area, and my mom wants me to move it. 
i would be willing to pay $60. for gas to get it moved to anyw [...]",2012-11-17T15:32:59-05:00,emailnotfound
need ride (la vergne to el paso),lexington,http://lexington.craigslist.org/rid/3413209877.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:35:28-05:00,emailnotfound
ride offered - slade to pittsburgh on tue 11/20 (slade),lexington,http://lexington.craigslist.org/rid/3412607909.html,"i'm offering a ride from slade to pittsburgh. 
leaving november 20th returning november 23rd. traveling from the red river gorge, ky, to seven springs, pa via pittsburgh. i'm headed home for thanksgiving, then back to the red for rock climbing. conta [...]",2012-11-15T18:57:23-05:00,emailnotfound
cheap way to travel to any state or city,lexington,http://lexington.craigslist.org/rid/3376194249.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-15T18:06:14-05:00,emailnotfound
southern ky to columbus oh  11/21 (united states),lexington,http://lexington.craigslist.org/rid/3406408356.html,looking for ride from around london ky to columbus oh on november 21st. i'm trying to get home for thanksgiving. thanks.,2012-11-13T08:51:34-05:00,emailnotfound
move article or tow boat or vehicle kentucky to florida (kentucky),lexington,http://lexington.craigslist.org/rid/3389312771.html,"i will tow your boat or vehicle from kentucky area all the way to florida keys and points in between. phone me to work out details. price dependent on items moved. other pick up and delivery points can be worked out as well. 
frank 502-445-3427 ",2012-11-11T22:45:16-05:00,emailnotfound
ride needed (lexington to philadelphia),lexington,http://lexington.craigslist.org/rid/3403152827.html,need ride for 2 students from lexington or louisville to east coast - dc through nyc is ok - early in december. will pay all gas and tolls.,2012-11-11T20:05:24-05:00,emailnotfound
