title,postingFrom,permalink,shortDescription,postingDate,mailToLink
spend xmas in phx with loved ones-----omaha to phx and return cheep (quick xmas turn-around),omaha,http://omaha.craigslist.org/rid/3349832993.html,"wanna see family at xmas time....lvg oma with nearly mty small car, for phx on 12-21 or 22, early-12 for sons b-day dec 23rd, christmas, 25th, see friends and son ...til 28th and return to oma. car will be nearly full coming back. details can be work [...]",2012-11-17T18:12:52-06:00,emailnotfound
ride needed to north dakota (omaha i 29),omaha,http://omaha.craigslist.org/rid/3416480175.html,"heading to north dakota, if you are going anywhere near interstate 29 we would love to ride with you. looking to leave saturday evening or anytime sunday or monday. , can chip in a small amount for gas but we are pretty broke. mother and son. please  [...]",2012-11-17T12:19:22-06:00,emailnotfound
~4-door sedan will take you around omaha!~ (nw omaha),omaha,http://omaha.craigslist.org/rid/3416416769.html,"looking for transportation? i can transport you around the omaha area. $15/minimum but negotiable. 
~affordable 
~dependable 
~honest 
contact me via e-mail to set something up (i check it regularly). 
thank you & have a good day! :)",2012-11-17T11:55:16-06:00,emailnotfound
"colorado trip!!! (omaha, ne)",omaha,http://omaha.craigslist.org/rid/3415208978.html,"hey, 
i planning a trip to fort collins, co to check out the sites. but i need to get the gas money to actually get over there. i guess i'm looking for 2 other people to chip in $50 each for gas. it's pretty much gonna be $200 there and back. right n [...]",2012-11-16T19:48:45-06:00,emailnotfound
"need a driver??? (omaha, ne)",omaha,http://omaha.craigslist.org/rid/3401216955.html,"local driver 
rates vary by destination 
omaha and council bluffs only 
516 305 7584",2012-11-16T19:18:08-06:00,emailnotfound
chicago to nebraska (lincoln or omaha) - nov 18/19/20/21 (chicago omahabound),omaha,http://omaha.craigslist.org/rid/3398326696.html,"hello, 
i'm out east visiting a friend and need to get back to nebraska. i'd be flying into chicago on the 18/19, preferably the 19th, but i could do the 18th. if you weren't leaving until the 20/21, i could stay with a friend until then, but i would [...]",2012-11-16T12:48:41-06:00,emailnotfound
little rock-conway on thanksgiving (west omaha),omaha,http://omaha.craigslist.org/rid/3414184232.html,"i am planning a trip to conway to meet my buddy, i will leave on wednesday early evening around 2-4 and start to come back on sunday morning. i will have a small dog on the back seat (shih tzu) who is very friendly. i am planning to get there as earl [...]",2012-11-16T12:24:35-06:00,emailnotfound
"ride to southwest or tow vehicle (omaha, ne)",omaha,http://omaha.craigslist.org/rid/3414183406.html,"i am driving to phoenix, az on or around december 7th depending on weather 
i can go through colorado, kansas, oklahoma, new mexico depending on weather and where you might need to go. 
i will have room for one person and some luggage and can drop yo [...]",2012-11-16T12:24:17-06:00,emailnotfound
you pay gas round trip (omaha to grand junction with u-haul ),omaha,http://omaha.craigslist.org/rid/3412524351.html,i'm going to grand junction colorado to p/u my things with the largest u-haul trailer they rent empty and my 2011 full size pick up. i will move you and your things any place along the way for only round trip gas. i don't care when we go best days ar [...],2012-11-15T17:18:07-06:00,emailnotfound
texas this thur or fiday anyone (around),omaha,http://omaha.craigslist.org/rid/3410789400.html,alguien kiere ir para texas este jueves o viernes puedo yevar uno o dos por un poco de dinero call or text 712 898 5572,2012-11-14T22:47:13-06:00,emailnotfound
trucking... (anywhere),omaha,http://omaha.craigslist.org/rid/3410650597.html,"i love trucking, im a good rider and looking for an attractive, good hygiene non smoker or wont smoke in rig that is looking for a ride along sometimes. im a good conversationalist and absolutely love trucking, plus im contemplating getting my cdl... [...]",2012-11-14T21:06:44-06:00,emailnotfound
needing a ride to wichita on thanksgiving ? (omaha),omaha,http://omaha.craigslist.org/rid/3410226895.html,im driving to wichita on thanksgiving morning and thought if someone wanted to visit their family but had no ride i could provide it - heading back to omaha either sunday the 25th or monday the 26th,2012-11-14T17:18:54-06:00,emailnotfound
heading east day before thnksgvng (omaha),omaha,http://omaha.craigslist.org/rid/3387977589.html,mom of 3 going east looking for someone to help with gas costs. 4 hours east on i-80. must be trustworthy and obviously will need to get to know you a little beforehand. possible room for 2. ,2012-11-14T16:39:16-06:00,emailnotfound
24 hour ride service,omaha,http://omaha.craigslist.org/rid/3384993514.html,24 hour ride service call jerry 708-733-2515,2012-11-14T01:52:16-06:00,emailnotfound
!need a ride!omaha and council blfs (south omaha),omaha,http://omaha.craigslist.org/rid/3344537896.html,"! did you need! a ride to the store or pharmacy or doctor apoinment just call 402 452-7441 my name is omar , ride depend how far is the location. i have my gps to find your distination i dont go so high in the prices so dont scare thanks. ",2012-11-12T12:48:32-06:00,emailnotfound
offering rides to & from lincoln (omaha),omaha,http://omaha.craigslist.org/rid/3404506427.html,"hello, i'm offering rides to and from lincoln on friday, november 16 and saturday, november 17. i have a van that seats 6 passengers. email me with date, time, and how many people and i will immediately reply with a price. my prices are very reasonab [...]",2012-11-12T11:54:46-06:00,emailnotfound
anyone heading south around dec. 5th? (warmer weather),omaha,http://omaha.craigslist.org/rid/3404242533.html,looking to go south for the winter! doesnt really matter as long as i can sleep in a tent overnight without freezing. it will just be me and my large back-pack-no dog. please call or text 970-688-0661 or email me! i'll give you access to my facebook  [...],2012-11-12T10:24:35-06:00,emailnotfound
